url,brand,first_reg,type,body_type,engine,fuel,mileage,drive_type,gearbox,color,price
https://www.auto24.ee/soidukid/4232179,Skoda Kamiq,2023,sõiduauto,luukpära (LUUKPÄRA),1498cm³ 110kW,bensiin,27020,esivedu,automaat (AUTOMAAT),must (Black),21990
https://www.auto24.ee/soidukid/4242035,Skoda Octavia Elegance Style,2020,sõiduauto,universaal,2.0 TDI 110kW,diisel,118000,esivedu,automaat (DSG7),must met.,21990
https://www.auto24.ee/soidukid/4248520,Skoda Superb,2021,sõiduauto,sedaan,1968cm³ 110kW,diisel,105396,esivedu,automaat,valge (White),21990
https://www.auto24.ee/soidukid/4237975,Subaru Forester AWD E-Boxer Ridge EyeSight 7CVT,2021,sõiduauto,universaal,2.0 110kW,hübriid (bensiin / elekter),139500,nelikvedu,automaat (Lineartronic),pruun met. (CD - brilliant bronze met),21990
https://www.auto24.ee/soidukid/4247852,Toyota Corolla GR Sport,2021,sõiduauto,luukpära,1.8 72kW,hübriid (bensiin / elekter),44902,esivedu,automaat,hõbedane met. (Bi-tone Precious Silver (1J6/209)),21990
https://www.auto24.ee/soidukid/4239485,Toyota Corolla Hybrid Active e-CVT,2022,sõiduauto,sedaan,1.8 72kW,hübriid (bensiin / elekter),46757,esivedu,automaat (CVT),hall met. (Gray metallik),21990
https://www.auto24.ee/soidukid/4237170,Toyota Corolla Hybrid Active e-CVT,2022,sõiduauto,sedaan,1.8 72kW,hübriid (bensiin / elekter),38000,esivedu,automaat (CVT),hall met. (Gray metallik),21990
https://www.auto24.ee/soidukid/4190090,Toyota Hilux,2020,sõiduauto,pikap,2.4 110kW,diisel,248969,nelikvedu,manuaal,valge (White tavavärv),21990
https://www.auto24.ee/soidukid/4181196,Toyota Yaris Cross,2023,sõiduauto,luukpära,1.5 68kW,hübriid (bensiin / elekter),56127,esivedu,automaat,tumehall met. (Dark gray metallik),21990
https://www.auto24.ee/soidukid/4139789,Volvo V60,2020,sõiduauto,universaal,2.0 140kW,diisel,155000,esivedu,automaat,valge,21990
https://www.auto24.ee/soidukid/4163762,Volvo V90 Cross Country AWD Pro,2017,sõiduauto,universaal,2.0 173kW,diisel,160450,nelikvedu,automaat,sinine met.,21990
https://www.auto24.ee/soidukid/4245625,Toyota Corolla,2024,sõiduauto,sedaan,1.5 Dynamic Force 92kW,bensiin,37575,esivedu,automaat,hall met.,21995
https://www.auto24.ee/soidukid/4247536,Toyota Corolla,2024,sõiduauto,sedaan,1.5 Dynamic Force 92kW,bensiin,34311,esivedu,automaat,hõbedane,21995
https://www.auto24.ee/soidukid/4234543,Toyota RAV4,2020,maastur,universaal,2.0 129kW,bensiin,111843,esivedu,automaat,tumesinine,21995
https://www.auto24.ee/soidukid/4195613,Mercedes-Benz CLA 180 AMG Shooting Brake,2021,sõiduauto,universaal,1.5 85kW,diisel,215000,esivedu,automaat,must met.,21999
https://www.auto24.ee/soidukid/4121065,Porsche Macan S Exclusive,2014,maastur,universaal,3.0 190kW,diisel,297000,nelikvedu,automaat,must,21999
https://www.auto24.ee/soidukid/4241382,Skoda Kodiaq Scout 4x4,2020,maastur,universaal,2.0 140kW,diisel,199999,nelikvedu,automaat,sinine met.,21999
https://www.auto24.ee/soidukid/4241382,Skoda Kodiaq Scout 4x4,2020,maastur,universaal,2.0 140kW,diisel,199999,nelikvedu,automaat,sinine met.,21999
https://www.auto24.ee/soidukid/4224156,Skoda Octavia 4X4,2021,sõiduauto,universaal,2.0 147kW,diisel,97900,nelikvedu,automaat,sinine met. (Lava Blue),21999
https://www.auto24.ee/soidukid/4250520,Skoda Superb,2016,sõiduauto,luukpära (N1),2.0 206kW,bensiin,141800,nelikvedu,automaat,must,21999
https://www.auto24.ee/soidukid/4247391,Volkswagen Golf GTE PHEV,2021,sõiduauto,luukpära,1.4 180kW,pistikhübriid (bensiin / elekter),63000,esivedu,automaat,valge met.,21999
https://www.auto24.ee/soidukid/4224063,Volkswagen Golf Variant Style eTSI,2021,sõiduauto,universaal,1.5 110kW,bensiin,79000,esivedu,automaat (DSG),hall met.,21999
